english,french
You must be above such mean conduct,Vous devez être au-dessus d&#39;une telle conduite moyenne
You look smart in the shirt,Tu as l&#39;air intelligent dans la chemise
Did you tape that concert,Avez-vous enregistré ce concert ?
Dare you ask him about it,Osez-vous lui en parler?
You are sure to succeed in time,Vous êtes sûr de réussir à temps
You'd better not go there,Je te déconseille d'y aller.
You may go there,Tu as la permission d'y aller.
Do you deny that you went there,Nies-tu t'y être rendu ?
You had better not have gone there,Tu n'aurais pas dû aller là.
You may as well say so,Tu peux tout aussi bien le dire.
You should have done so,Tu aurais dû ainsi faire.
You're wet through,Tu es trempé.
"You aren't a spy, are you","Tu n'es pas un espion, si ?"
I hear that you've been ill,J&#39;entends que tu as été malade
You've got a lot of guts,"Toi, tu as vraiment des tripes."
You may go at once,Tu peux partir immédiatement.
You'd better set off at once,Vous feriez mieux de partir immédiatement
You'll get well soon,Vous obtenez ainsi
You've got it in one That's right,Vous l&#39;avez en un C&#39;est vrai
You had better start at once,Tu ferais mieux de commencer tout de suite.
You may as well begin at once,Vous pouvez aussi bien commencer immédiatement
You are to do it at once,Vous devez le faire à la fois
You ought to do it at once,Vous devez le faire immédiatement
You may as well wash your shirt,Vous pouvez aussi bien laver votre chemise
You're forever making mistakes,Tu fais toujours des erreurs
What are you staring at,Qu’est-ce que tu regardes ?
You will soon regret your rash conduct,Vous regretterez bientôt votre conduite téméraire
Did you do this on your own,Avez-vous fait cela vous-même ?
You must put these mistakes right,Vous devez corriger ces erreurs
You must read this book also,Tu dois également lire ce livre.
Have you read this book already,As-tu déjà lu ce livre ?
Have you read this book yet,As-tu déjà lu ce livre ?
You are not to leave this room,Tu ne dois pas quitter cette pièce.
Where did you go last Sunday,Où es-tu allé dimanche dernier ?
Can you swim across the river,Pouvez-vous traverser la rivière à la nage ?
You can use this car,Vous pouvez utiliser cette voiture
You are old enough to understand this,Tu es assez vieux pour comprendre ça
Can you make sense of this poem,Peux-tu décrypter ce poème ?
You are suitable for the job,Vous convenez au poste.
You have no choice in this matter,Nous n'avons pas le choix.
You should make use of this chance,Vous devriez profiter de cette chance
Can you read this kanji,Peux-tu lire ce caractère chinois ?
You should take advantage of this chance,Tu devrais profiter de cette chance.
You are deeply involved with this,Vous êtes profondément impliqué dans ce
How did you come by this money,Comment t'es-tu procuré cet argent ?
You have only to come here,Tu dois juste venir ici.
You have only to sit here,Tu n&#39;as qu&#39;à t&#39;asseoir ici
You had far better stay here,Tu ferais mieux de rester ici
You are to stay here,Tu dois rester ici
You are secure from danger here,Vous êtes à l&#39;abri du danger ici
You can study here,Tu peux étudier ici.
You'd better not wait here,Tu ne devrais pas attendre ici.
Are you going to sing here,Allez-vous chanter ici ?
You are prohibited from smoking here,Il vous est interdit de fumer ici
What ever are you doing here,Que fais-tu là ?
You've drunk three cups of coffee,Tu as bu trois tasses de café.
You must be mentally exhausted,Tu dois être mentalement épuisé.
You'll certainly pass the coming exam,Vous passerez certainement l&#39;examen à venir
Where are you from in Canada,D'où venez-vous au Canada ?
You will catch cold,Tu vas prendre froid.
You ought to take your father's advice,Tu devrais suivre les conseils de ton père
You look just like your big brother,Tu ressembles à ton grand frère
You haven't any money,Tu n'as pas d'argent.
Haven't you got any money,N'as-tu pas un peu d'argent ?
Aren't you happy,N'êtes-vous pas heureux ?
You have done very well,Tu t'es très bien débrouillé.
You're starting to warm up now,Tu commences à t'échauffer maintenant.
You are now among the elite,Tu fais maintenant partie de l'élite.
When did you come to Japan,Quand es-tu venu au Japon ?
When will you leave here,Quand allez-vous partir d'ici ?
When will you be free,Quand seras-tu libre ?
When did you begin studying English,Quand as-tu commencé à apprendre l'anglais ?
You're always criticizing me,Tu me critiques tout le temps !
You're always finding fault with me,Tu trouves toujours des reproches à me faire.
You always take things too easy,Tu prends les choses avec trop de désinvolture.
You are always complaining,Tu as toujours à te plaindre.
You are always wearing a loud necktie,Tu portes toujours une cravate bruyante
You're always anticipating trouble,Tu prévois toujours des problèmes.
You are always doubting my word,Tu doutes toujours de ma parole.
You are always finding fault with me,Tu as toujours quelque chose à me reprocher.
What time do you usually get up,À quelle heure te lèves-tu d'habitude ?
You are always watching TV,Tu regardes tout le temps la télé.
You are watching TV all the time,Tu regardes tout le temps la télé.
You are always hearing but not listening,Tu entends toujours mais tu n'écoutes pas.
You are quite a man,Vous êtes tout à fait un homme
"Once you begin, you must continue","Une fois que tu commences, tu dois continuer."
What on earth are you talking about,Mais qu'est-ce que tu racontes
You will know the truth some day,Tu connaîtras la vérité un jour.
You are naughty,Tu es vilain.
How much money do you want,Combien d'argent veux-tu ?
You have some books,Tu as quelques livres.
You've given me good advice,Tu m'as fourni de bons conseils.
You are a good boy,Tu es un bon garçon.
You shouldn't talk back like that,Tu ne devrais pas parler comme ça
You are right in a way,"En un sens, tu as raison."
Have you ever been to America,As-tu déjà été en Amérique ?
You had better not work too hard,Tu ferais mieux de ne pas trop travailler.
You don't exert yourself much,Vous ne vous exercez pas beaucoup
You are too much letter-bound,Vous êtes trop lié à une lettre
You cannot buy that judge,Vous ne pouvez pas acheter ce juge
Have you ever been to that village,Êtes-vous déjà allé dans ce village ?
Are you on the committee,Faites-vous partie du comité ?
You should have taken a chance then,"Tu aurais dû saisir la chance, alors."
You must stick to your promise,Tu dois tenir ta promesse.
"You're a philosopher, aren't you","Vous êtes philosophe, n'est-ce pas ?"
You have to leave home at six,Tu dois quitter la maison à six heures.
You are expected to come by 500,On s&#39;attend à ce que vous veniez par 500
You must be here till five,Tu dois être ici jusqu'à cinq heures.
Can you do it in one day,Pouvez-vous le faire en une journée ?
You should have refused his offer,Tu aurais dû décliner sa proposition.
You need to have breakfast,Tu as besoin de petit-déjeuner.
Did you leave the window open,Avez-vous laissé la fenêtre ouverte?
