english,french
Sometimes I can't help showing emotions,Parfois je ne peux pas m'empêcher de montrer des émotions
I don't intend to be selfish,Il n'est pas dans mon intention d'être égoïste
Let's consider the worst that could happen,Réfléchissons au pire qui pourrait arriver
How many close friends do you have,Combien d'amis proches est-ce que tu as ?
One can always find time,On peut toujours trouver du temps
"When I woke up, I was sad",Quand je me suis réveillé j'étais triste
That is somewhat explained at the end,C’est ce qui est expliqué à la fin
Why do you ask,Pourquoi tu me demandes ?
How long did you stay,Combien de temps es-tu resté ?
Innocence is a beautiful thing,L'innocence est une belle chose
Humans were never meant to live forever,Les humains n'ont jamais été faits pour vivre éternellement
That is intriguing,C'est intriguant
I didn't know where it came from,Je ne savais pas d'où ça venait
This is not important,Ce n'est pas important
I didn't like it,Je n'ai pas aimé
She's asking how that's possible,Elle demande comment c’est possible
You're just running away from life's problems,Tu ne fais que fuir les problèmes de la vie
You can do it,Vous pouvez le faire
I wish I could go to Japan,J'aimerais bien pouvoir aller au Japon
I have to go to bed,Je dois aller au lit
I won't ask you anything else today,Je ne t'en demanderai pas plus pour aujourd'hui
It may freeze next week,Il se peut qu'il gèle la semaine prochaine
"Even though he apologized, I'm still furious","Même s'il s'est excusé, je suis encore en colère"
That wasn't my intention,Ce n'était pas mon intention
Thanks for your explanation,Merci pour ton explication
"Theoretically, I'm doing math","En théorie, je suis en train de faire des maths"
I don't know what you mean,Je ne sais pas ce que tu veux dire
You wanted to tell me about freedom,Tu voulais me parler de liberté ?
"Uh, now it's really weird","Euh, là c'est vraiment bizarre"
One can't expect everything from schools,On ne peut pas tout attendre des écoles
You're really not stupid,T'es vraiment pas bête
Can it be phrased in another way,Est-ce qu'on peut formuler ça d'une autre manière ?
No one will know,Personne ne saura
It seems interesting to me,Ça me paraît intéressant
"Except that here, it's not so simple","Sauf que là, c'est pas si simple"
I like candlelight,J'aime bien la lumière des bougies
What did you answer,Qu'as-tu répondu ?
"No, he's not my new boyfriend","Non, c'est pas mon nouveau petit ami"
You never have class or what,T'as jamais cours ou quoi ?
Where is the problem,Où est le problème ?
I can only wait,Je ne peux qu'attendre
I love you,Je t'aime
I don't like you anymore,Je ne t'aime plus
I am curious,I am curious
Congratulations,Félicitations
I don't want to wait that long,Je ne veux pas attendre aussi longtemps
Why don't you come visit us,Pourquoi ne viens-tu pas nous voir ?
But the possibility seems unlikely,Mais la possibilité semble improbable
I shouldn't have logged off,Je n'aurais pas dû me déconnecter
I don't know what to do anymore,Je ne sais plus quoi faire
I hate chemistry,Je déteste la chimie
I didn't want this to happen,Je ne voulais pas que ça arrive
You can probably guess what happens though,Tu devines probablement ce qui va arriver
What other options do I have,Quelles autres options ai-je ?
I am not much of a traveller,Je ne suis pas un grand voyageur
I have nothing better to do,Je n'ai rien de mieux à faire
I can't explain it either,Je ne peux pas l'expliquer non plus
Everyone has strengths and weaknesses,Tout le monde a ses forces et ses faiblesses
It only shows you're not a robot,Ça montre seulement que tu n'es pas un robot
It's not something anyone can do,Ce n'est pas quelque chose que n'importe qui peut faire
Don't underestimate my power,Ne sous-estime pas ma puissance
My mom doesn't speak English very well,Ma maman ne parle pas très bien anglais
I don't speak French well enough,Je ne parle pas assez bien français
Therein lies the problem,Voilà l'essentiel du problème
Everyone wants to meet you You're famous,"Tout le monde veut te rencontrer, tu es célèbre "
I utterly despise formal writing,Je déteste absolument l'écriture formelle
Foreign people intrigue me,Les étrangers m'intriguent
What keeps you up so late,Qu'est-ce qui te retient éveillé si tard ?
You're not fast enough,Tu n'es pas assez rapide
"Life is hard, but I am harder","La vie est dure, mais je suis encore plus dur"
Bearing can be unbearable,Supporter peut être insupportable
Stop it You're making her feel uncomfortable,Arrête  Tu la mets mal à l'aise
Nothing is beautiful but the truth,Rien n'est beau que le vrai
"Tomorrow, he will land on the moon","Demain, il va alunir"
I don't speak Japanese,Je ne parle pas japonais
This is a pun,C’est un jeu de mots
Nobody understands me,Personne ne me comprend
I learned to live without her,J'ai appris à vivre sans elle
I just wanted to check my email,Je voulais juste vérifier mes courriels
You really don't have the right priorities,T'as vraiment pas les bonnes priorités
Don't expect others to think for you,N'attends pas que les autres pensent pour toi
You never have time for important things,Tu n'as jamais le temps pour les choses importantes
Stop seeing me as a normal person,Arrête de me considérer comme quelqu'un de normal
Are you referring to me,Est-ce que tu parles de moi ?
It can't be,C’est pas possible
Would you like something to drink,Voulez vous boire quelque chose
Who is it It's your mother,« Qui est-ce ? » « C'est ta mère »
Uh How's that working,Euh Comment ça fonctionne ?
"Trust me, he said","« Fais-moi confiance », dit-il"
"This looks pretty interesting, Hiroshi says",Ca a l'air plutôt intéressant dit Hiroshi
The phone is ringing I'll get it,Le téléphone sonne Je prends
"That's very nice of you, Willie answered",C'est très gentil de ta part répondit Willie
Someday I'll run like the wind,Un jour je courrai comme le vent
She likes music So do I,« Elle aime la musique » « Moi aussi »
Please don't cry,"S'il te plaît, ne pleure pas"
Class doesn't begin until eight-thirty,La classe ne commence pas avant huit heures et demie
Allen is a poet,Allen est un poète
The archer killed the deer,L'archer a tué le cerf
Rye was called the grain of poverty,Le seigle était appelé le grain de la pauvreté
The Germans are very crafty,Les Allemands sont très ingénieux
"If you don't eat, you die","Si on ne mange pas, on meurt"
How do you spell pretty,Comment épelle-t-on pretty ?
Why don't we go home,Et si nous retournions à la maison ?
"I'm sorry, I can't stay long","Je m'excuse, je ne peux pas rester longtemps"
"It wasn't me, commissioner","C'était pas moi, commissaire "
You're an angel,T'es un ange
People from Madrid are weird,Ils sont fous ces Madrilènes
Did you miss me,Est-ce que je t'ai manqué  ?
Are they all the same,Sont-ils tous identiques ?
Thank you very much,Merci beaucoup
"Where are the eggs, please","S'il vous plaît, où sont les oeufs ?"
I'll take him,Je le prends
It's a surprise,Il fut content qu'il n'y eut pas encore de gens
That's a good idea,— 300- comprendre
Round trip Only one-way,Aller-retour ? Aller simple seulement
It's a pity when somebody dies,C'est dommage quand quelqu'un meurt
They were left speechless,Ils restèrent bouche bée
Damn It's not bad,Putain  C'est pas mal
Pull into shape after washing,Remettre en forme après lavage
Wash before first wearing,Laver avant de porter pour la première fois
Don't open before the train stops,Ne pas ouvrir avant l'arrêt du train
They say love is blind,"Comme on dit, l'amour est aveugle"
"Oh, I'm sorry","Oh, je suis désolé"
Do you speak Italian,Est-ce que tu parles italien ?
May I ask a question,Puis-je poser une question ?
How do you feel he inquired,"Comment te sens-tu ?, demanda-t-il"
I would never have guessed that,Je ne l'aurais jamais deviné
Imagination affects every aspect of our lives,L'imagination affecte tous les aspects de notre vie
You'll forget about me someday,Tu m'oublieras un jour
That is rather unexpected,C'est assez inattendu
I can't live without a TV,Je ne peux pas vivre sans télé
Nothing is achieved without effort,Rien n'est accompli sans effort
Life without love is just totally pointless,Une vie sans amour n'a absolument aucun sens
I think exams are ruining education,Je pense que les examens ruinent l'éducation
We can't sleep because of the noise,Nous ne pouvons pas dormir à cause du bruit
Do you have a condom,As-tu une capote ?
Do whatever he tells you,Fais tout ce qu'il te dit
It is already eleven,Il est déjà 11 heures
May I talk to Ms Brown,Puis-je parler à Mlle Brown ?
"Yes, orange juice please, says Mike","Oui, du jus d'orange s'il vous plait, dit Mike"
Ah is an interjection,Ah  est une interjection
What do you want,Que souhaitez-vous
I have a dream,I have a dream
The cost of life increased drastically,Le coût de la vie a augmenté de manière drastique
"All that which is invented, is true",Tout ce qui est inventé est vrai
But the universe is infinite,Mais l'univers est infini
The world is a den of crazies,Le monde est une cage à fous
You're by my side everything's fine now,"Tu es à mes côtés, maintenant tout va bien"
What do you mean you don't know,Comment ça tu ne sais pas ?
You look stupid,T'as l'air stupide
I think I'm gonna go to sleep,Je pense que j'vais aller dormir
My name is Jack,Je m'appelle Jack
I like it very much,Je l'aime beaucoup
We're meeting up tomorrow,On se voit demain ?
How do you say that in Italian,Comment est-ce qu'on dit ça en italien ?
Is it far from here,C'est loin d'ici ?
These things aren't mine,Ce ne sont pas mes affaires
"Thanks, that's all","Merci, c'est tout"
Would you like to dance with me,Voulez-vous danser avec moi ?
Italy is a very beautiful country,L'Italie est un très beau pays
It's not my fault,Ce n'est pas de ma faute
I'd like to stay for one night,J’aimerais rester pour une nuit
Where are the showers,Où sont les douches ?
Open your mouth,Ouvrez votre bouche
Is it bad,Ils sont nuls ?
I have lost my wallet,J'ai perdu mon portefeuille
Love is never wasted,L'amour n'est jamais un gaspillage
Not wanting is the same as having,Ne pas désirer équivaut à posséder
He's very sexy,Il est très sexy
There are too many things to do,Il y a trop de choses à faire
Thanks to you I've lost my appetite,Grâce à toi j'ai perdu mon appétit
I really need to hit somebody,J'ai vraiment besoin de frapper quelqu'un
Who doesn't know this problem,Qui est-ce qui ne connaît pas ce problème ?
It is very hot today,"Aujourd'hui, il fait très chaud"
Nobody came,Personne n'est venu
I never saw a red fridge,Je n'ai jamais vu de réfrigérateur rouge
What would the world be without women,Que serait le monde sans les femmes ?
This is not my type,Ce n'est pas mon type
I was trying to kill time,J'essayais de tuer le temps
I'm tired,Je suis fatiguée
Who wants some hot chocolate,Qui veut du chocolat chaud ?
"Speak more slowly, please",Parlez plus lentement s'il vous plaît
When do we arrive,C’est quand qu’on arrive?
"The check, please",L'addition s'il vous plaît
And what are we going to do,Et qu'est-ce qu'on va faire ?
I have a headache,J'ai un mal de tête
Where can one make a phone call,Où peut-on téléphoner ?
I must admit that I snore,Je dois vous avouer que je ronfle
Tonight we're going to church,Ce soir nous allons à l'église
I don't feel well,Je ne me sens pas bien
Call the police,Appeler la police
It's too expensive,C'est trop cher
Merry Christmas,Joyeux Noël
You should have listened to me,Tu aurais dû m'écouter
What does it involve,Que s'agit-il de faire ?
He would be glad to hear that,Il serait ravi d'entendre ça
Computers make people stupid,Les ordinateurs rendent les gens stupides
Anything that can be misunderstood will be,Tout ce qui peut être mal compris le sera
Why is life so full of suffering,Pourquoi la vie est-elle si remplie de souffrance ?
Passion creates suffering,La passion crée de la souffrance
I'm starving,Je meurs de faim
Do you have friends in Antigua,Est-ce que tu as des copains en Antigua ?
A cubic meter corresponds to 1000 liters,Un mètre cube correspond à 1000 litres
I am married and have two children,Je suis mariée et j'ai deux enfants
He plays the piano very well,Il joue extrêmement bien du piano
I see it rarely,Je le vois rarement
I'd like to study in Paris,J'aimerais faire mes études à Paris
You don't know who I am,Vous ne savez pas qui je suis
Why don't you eat vegetables,Pourquoi est-ce que tu ne manges pas de légumes ?
Why do people go to the movies,Pourquoi est-ce que les gens vont au cinéma ?
I'm undressing,Je me déshabille
The car crashed into the wall,La voiture s'écrasa contre le mur
There are no real visions,Il n'y a pas de visions réelles
Creationism is a pseudo-science,Le créationnisme est une pseudo-science
The wind calmed down,Le vent s'apaisa
I don't want to propose to you,Je ne veux pas demander ta main
"Where there's a will, there's a way","Where there's a will, there's a way"
"Who searches, finds","Qui cherche, trouve"
Rome wasn't built in a day,Rome ne se fera pas en un jour
Silence gives consent,Qui ne dit mot consent
"Good morning, said Tom with a smile","Bonjour, dit Tom avec un sourire"
Wine is poetry filled in bottles,Le vin c'est de la poésie en bouteille
I don't understand German,Je ne comprends pas l'allemand
I made my decision,J'ai pris ma décision
I give you my word,Je te donne ma parole
We have a Pope,Nous avons un Pape
"I don't think, therefore I am not","Je ne pense pas, donc je ne suis pas"
"Don't worry, be happy",Ne vous en faites pas
I find foreign languages very interesting,Je trouve les langues étrangères très intéressantes
I don't like learning irregular verbs,Je n'aime pas apprendre les verbes irréguliers
Take a book and read it,Prends un livre et lis-le
Face life with a smile,Affronte la vie en souriant
You make me dream,Tu me fais rêver
I'm beside myself with joy,Je suis fou de joie
He's already a man,C'est déjà un homme
The vacation is over now,Les vacances sont finies maintenant
I'm afraid to fall,J'ai peur de tomber
Evening dress is desired,Une tenue de soirée est souhaitée
That's the absolute truth,C'est la pure vérité
It's cold,Il fait froid
I'm thirsty,J'ai soif
You did this intentionally,Tu as fait ça intentionnellement
You didn't tell him anything,Tu ne lui as rien dit ?
You made me lose my mind,Tu m'as fait perdre la tête
You're my type,Tu es mon type
You're irresistible,T'es irrésistible
Who am I talking with,Je parle avec qui ?
"I accept, but only under one condition","J'accepte, mais à une condition"
"Smile now, cry later","Souris maintenant, pleure plus tard "
Life is beautiful,La vie est belle
Have you ever eaten a banana pie,As-tu déjà mangé une tarte à la banane ?
Are you for or against abortions,Es-tu pour ou contre l'avortement ?
What made you change your mind,Qu'est-ce qui t'a fait changer d'avis ?
"Hey, look, a three-headed monkey","Eh regarde, un singe à trois têtes "
I love lasagna,J'adore les lasagnes
The brain is just a complicated machine,Le cerveau n'est qu'une machine compliquée
Are you for or against abortions,Es-tu pour ou contre l'avortement ?
What made you change your mind,Qu'est-ce qui t'a fait changer d'avis ?
"Hey, look, a three-headed monkey","Eh regarde, un singe à trois têtes !"
I love lasagna,J'adore les lasagnes.
The brain is just a complicated machine,Le cerveau n'est qu'une machine compliquée.
This baby penguin is too cute,Ce bébé pingouin est trop mignon !
What is your greatest source of inspiration,Quelle est ta plus grande source d'inspiration ?
I don't want to go to school,Je ne veux pas aller à l'école.
It is raining,Il pleut
"She's really smart, isn't she","Elle est vraiment intelligente, n'est-ce pas ?"
Justice is expensive,La justice coûte cher.
Life is a fatal sexually transmitted disease,La vie est une maladie mortelle sexuellement transmissible.
Too late,Trop tard
I went to the zoo yesterday,Je suis allée au zoo hier.
We won the battle,Nous avons gagné la bataille.
Hello Are you still here,Allô ? T'es toujours là ?
I make lunch every day,Je prépare le déjeuner tous les jours.
I watched TV this morning,J'ai regardé la télé ce matin.
I read a book while eating,J'ai lu un livre en mangeant.
I started learning Chinese last week,J'ai commencé à apprendre le chinois la semaine dernière.
It's practical to have a laptop,C'est pratique d'avoir un ordinateur portable.
Your glasses fell on the floor,Tes lunettes sont tombées par terre.
We went to London last year,Nous sommes allés à Londres l'année dernière.
She doesn't want to talk about it,Elle ne veut pas en parler.
I lost my inspiration,J'ai perdu mon inspiration.
It doesn't mean anything,Ça ne veut rien dire.
Be patient please It takes time,"Sois patient s'il te plaît, ça prend du temps."
Close the door when you leave,Ferme la porte en sortant.
This is such a sad story,C’est une histoire tellement triste.
My little brother is watching TV,Mon petit frère regarde la télé.
You met him at the university,Tu l'as rencontré à l'université ?
Aaah My computer is broken,Aaah ! ! Mon ordinateur est cassé !
"Yes, it happens from time to time","Oui, ça arrive de temps en temps."
Censorious people delight in casting blame,Les personnes critiques se délectent de mettre les autres en accusation.
We must learn to meet adversity gracefully,Nous devons apprendre à affronter l'adversité avec grâce.
I like my job very much,J'aime beaucoup mon travail.
I dreamt about you,J'ai rêvé de toi.
I have to get a new computer,Il me faut un nouvel ordinateur.
I won't lose,Je ne perdrai pas !
I was late to school,J'étais en retard à l'école.
Classes are starting again soon,Les cours reprennent bientôt.
But you've never told me about this,Mais tu ne m'as jamais dit ça !
I've changed my website's layout,J'ai changé l'agencement de mon site web.
He won't beat me,Il ne me battra pas.
You had plenty of time,T'avais plein de temps.
Stop criticizing me,Arrête de me critiquer !
"Come on Talk to me, Trang",Allez ! Parle-moi Trang.
I'm almost done,J'ai presque fini/J’ai presque terminé/J'ai presque fini
Take the other chair,Prends l'autre chaise !
How many sandwiches are there left,Combien de sandwichs restent-ils ?
I'm not inspired anymore,Je ne suis plus inspirée.
I won't lower myself to his level,Je ne m'abaisserai pas à son niveau.
It's driving me crazy,Ça me rend dingue.
It's all dark outside,Il fait tout noir dehors.
You can finish your essay now,Tu peux finir ta rédaction maintenant.
Never try to die,N'essaie jamais de mourir.
I am too old for this world,Je suis trop vieille pour ce monde.
Life begins when you pay taxes,La vie commence quand on paie des impôts.
It is never too late to learn,Il n'est jamais trop tard pour apprendre.
I never said I was fragile,Je n'ai jamais dit que j'étais fragile.
What are you talking about,De quoi tu parles ?
I want a piece of candy,Je veux un bonbon.
I knew that today would be fun,Je savais qu'aujourd'hui serait amusant.
When are we eating I'm hungry,Quand est-ce qu'on mange ? J'ai faim !
I have class tomorrow,J'ai cours demain.
I can't believe it,Je n'arrive pas à y croire...
Thank you You're welcome,"Merci, vous êtes les bienvenus"
How do you pronounce pronounce,"Comment tu prononces ""pronounce"" ?"
Winter is my favorite season,L’hiver est ma saison préférée.
It's difficult to have great ideas,C’est difficile d'avoir des idées géniales.
I learned a lot from you,J'ai beaucoup appris de toi.
We walked a lot,Nous avons beaucoup marché.
I spent twelve hours on the train,J'étais dans le train pendant douze heures.
She got sick this weekend,Elle est tombée malade ce week-end.
He's rich He doesn't need money,"Il est riche, il n’a pas besoin d'argent !"
He's sleeping like a baby,Il dort comme un bébé.
You're sick You have to rest,"Tu es malade, tu dois te reposer."
There's a secret path on the left,Il y a un passage secret sur la gauche.
She's asking for the impossible,Elle demande l'impossible.
He disappeared without a trace,Il a disparu sans laisser de trace.
There cannot be progress without communication,Il ne peut pas y avoir de progrès sans communication.
The world doesn't revolve around you,Le monde ne tourne pas autour de toi.
The world is full of fools,Le monde est plein d’imbéciles.
This place has a mysterious atmosphere,L'atmosphère de cet endroit est mystérieuse.
My life is hollow without him,Ma vie est vide sans lui.
I don't want to fail my exams,Je ne veux pas louper mes examens.
She was wearing a black hat,Elle portait un chapeau noir.
We made pancakes for breakfast,Nous avons fait des crêpes pour le petit-déjeuner.
I want to be more independent,Je veux être plus indépendant.
My heart was filled with happiness,Mon cœur était rempli de joie.
He wishes to erase bad memories,Il souhaite effacer de mauvais souvenirs.
Your secret will be safe with me,Ton secret sera bien gardé.
Yes I won twice in a row,Ouais ! J’ai gagné deux fois de suite !
I'm tired of eating fast food,J'en ai marre de manger du fast food.
The essence of mathematics is liberty,L'essence des mathématiques est la liberté.
Where is the bathroom,Où se trouvent les toilettes
The essence of liberty is mathematics,L’essence de la liberté sont les mathématiques.
Each person is a world,Chaque personne est un monde.
I have French nationality but Vietnamese origins,J’ai la nationalité française mais je suis d’origine vietnamienne.
I'm crazy about you,Je suis fou de vous.
I don't know what is worse,Je ne sais pas ce qui est pire.
Who buys this type of art,Qui achète ce genre d'œuvre d'art ?
Why can't we tickle ourselves,Pourquoi ne pouvons-nous pas nous chatouiller nous-mêmes ?
I'm too lazy to do my homework,J'ai la flemme de faire mes devoirs.
Have you got a beard already,Tu as déjà de la barbe ?
I feel that I am free,Je sens que je suis libre.
Freedom is not free,La liberté n'est pas gratuite.
I created a shortcut on the desktop,J’ai créé un raccourci sur le bureau.
I want an MP3 player,Je veux un lecteur MP3 !
What You ate my chocolate bear,Quoi ? ! T'as mangé mon ours en chocolat ? !
Where are you,Où êtes-vous
He will make you eat dirt,Il vous fera mordre la poussière.
You piss me off,Tu me fais chier !
No way,Pas du tout d’accord
It's a dead end,C'est une impasse.
I don't necessarily trust translations,Je ne fais pas forcément confiance aux traductions.
"Life is not long, it is wide","La vie n'est pas longue, elle est large !"
He spent the evening reading a book,Il a passé la soirée à lire un bouquin.
Good night Sweet dreams,Bonne nuit. Fais de beaux rêves.
Everyone deserves a second chance,Tout le monde a droit à une seconde chance.
What is the advantage of this technology,Quel est l’avantage de cette technologie ?
The headline caught my eye this morning,Le gros titre attira mon attention ce matin.
I'm running out of ideas,Je suis à court d'idées.
Goodbyes are always sad,Les adieux sont toujours tristes.
Don't forget about us,Ne nous oublie pas !
Time has passed very fast,Le temps est passé très rapidement.
Which is your luggage,Laquelle est votre valise ?
The entrée includes a beverage,L'entrée comprend une boisson.
Do you have professional experience,Avez-vous une expérience professionnelle ?
Who painted this painting,Qui a peint ce tableau ?
"At this hour, there is incredible traffic",À cette heure il y a un trafic incroyable.
Aren't you ashamed to talk like that,Tu n'as pas honte de parler ainsi ?
He's Argentinean and he gives tennis lessons,Il est argentin et il donne des cours de tennis.
The tap is running,Le robinet coule.
I am four months pregnant,Je suis enceinte de quatre mois.
I've got a pacemaker,J'ai un stimulateur cardiaque.
I would like batteries for this device,Je voudrais des piles pour cet appareil.
Can I pay by credit card,Est-il possible de payer avec ma carte de crédit?
"Cut, wash and dry, please","Couper, laver et sécher, s'il vous plaît."
Could you please repeat that,Pourriez-vous répéter ça s’il vous plaît ?
Every effort deserves a reward,Tout effort mérite récompense.
It costs an arm and a leg,Ça coûte les yeux de la tête.
I need your advice,J’ai besoin de ton conseil.
I'm getting ready for the worst,Je me prépare au pire...
Take good care of yourself,Prenez soin de vous.
Everything is theoretically impossible until it's done,Tout est théoriquement impossible jusqu'à ce que ce soit fait.
Hope is not a strategy,L'espoir n'est pas une stratégie.
Do you have a pen on you,Tu as un crayon sur toi ?
Whose is this,À qui est-ce ?
It's a good deal,C'est une bonne affaire.
Pick up your things and go away,Ramasse tes affaires et va-t'en.
Put your hands down,Baisse les mains !
He laughs best who laughs last,Rira bien qui rira le dernier.
"The sooner, the better","Plus c’est tôt, mieux c’est"
He doesn't look his age,Il ne fait pas son âge.
Do you like rap,Tu aimes le rap ?
I love trips,J'aime les voyages.
I really wasn't expecting that from you,Je ne m'attendais vraiment pas à ça de ta part.
I've been waiting for hours,J'attends depuis des heures.
He died at a very old age,Il est mort à un âge très avancé
He's an old timer,C&#39;est un vieux temporisateur
That's the snag,Voilà le hic.
I don't know him,Je ne le connais pas.
I liked this film,Ce film m'a plu.
She's rolling in money,Elle est toute cousue d'or.
It's not important,Ce n'est pas important.
I don't care,Je m'en fous
"Speech is silver, but silence is golden","La parole est d'argent, mais le silence est d'or."
I don't like these remarks,Ces propos me déplaisent.
I'm not convinced at all,Je ne suis pas du tout convaincu.
Why do you want to leave today,Pourquoi veux-tu partir aujourd'hui ?
I'm going to take my car,Je vais prendre ma voiture.
It's too good to be true,C'est trop beau pour être vrai.
Better late than never,Mieux vaut tard que jamais.
"Like father, like son","Tel père, tel fils"
The early bird catches the worm,L’oiseau précoce attrape le ver
In life there are ups and downs,Dans la vie il y a des hauts et des bas.
All cats are grey in the dark,La nuit tous les chats sont gris.
Teach me how you do it,Apprends-moi comment on fait.
No news is good news,"Pas de nouvelles, bonnes nouvelles."
I was expecting it,Je m'y attendais !
I don't expect anything from you,Je n'attends rien de ta part.
Wait in the waiting room,Attendez dans la salle d'attente.
There's no doubt,Il n'y a aucun doute.
There isn't any solution,Il n'y a aucune solution.
I didn't know he drank so much,Je ne savais pas qu'il avait autant bu.
It's well done,C'est bien fait.
Do you want fruit juice,Tu veux un jus de fruit ?
He's a good person,C'est quelqu'un de bien.
Do as you want,Fais comme bon te semble.
Enjoy your meal,Bon appétit
There's no love without jealousy,Il n'y a point d'amours sans jalousie.
No love is foul nor prison fair,"Aucun amour n'est mauvais, ni aucune prison agréable."
There was not a bloody soul,Il n'y avait pas âme qui vive.
We are cut from the same cloth,Nous sommes de la même étoffe.
The walls have ears,Les murs ont des oreilles.
I've got a frog in my throat,J'ai un chat dans la gorge.
Make yourself at home,Comme à la maison
Why aren't you coming with us,Pourquoi est-ce que tu ne viens pas avec nous ?
I can't say the opposite,Je ne peux pas dire le contraire.
"Don't listen to him, he's talking nonsense","Ne l'écoute pas, il raconte n'importe quoi."
I don't want it anymore,Je n'en veux plus.
He came several times,Il est venu plusieurs fois.
We wonder why,On se demande pourquoi.
We must think about friends,On doit penser aux amis.
I'm going to take a bath,Je vais me baigner.
We left by train,Nous sommes partis en train.
Would you like to come,Aimerais-tu venir ?
I knew he would accept,Je savais qu'il accepterait.
I thought it was true,Je croyais que c'était vrai.
This is the boy I think about,C'est le garçon auquel je pense.
He has been warned on several occasions,On l'a averti à plusieurs reprises.
He jumped out the window,Il a sauté par la fenêtre.
Yesterday we had fun,"Hier, nous nous sommes bien amusés."
They quarreled,Elles se sont disputées.
I ate caviar,J'ai mangé du caviar.
This knife was very useful to me,Ce couteau m'a beaucoup servi.
You took the wrong key,Vous vous êtes trompé de clé.
I managed to get in,J'ai réussi à entrer.
How much is it,C’est combien ?
I'll bring you the bill immediately,Je vous apporte l’addition tout de suite.
Here is your change,Voici votre monnaie.
I'll pay by cheque,Je paierai par chèque.
Did you leave a tip,Avez-vous laissé un pourboire ?
Don't forget the ticket,N'oublie pas le billet.
"I'm sorry, I don't have change","Je regrette, je n'ai pas de monnaie."
The situation is worse than we believed,La situation est pire qu'on ne le croyait.
We have to expect the worst,Il faut s'attendre au pire.
They don't even know why,Ils ne savent même pas pourquoi.
You arrived at the moment I left,Tu es arrivée au moment où je sortais.
Muiriel likes to annoy me lately,Muiriel aime bien m'embêter ces derniers temps.
Who is coming with me,Qui vient avec moi ?
"On your feet, children","Debout, les enfants"
I talked to friends,J'ai parlé à des amis.
The film started at 2 o'clock,Le film a commencé à 2 heures.
This girl changed her look,Cette fille a changé de look.
The film lasted 2 hours,Le film a duré 2 heures.
I'm glad to see you back,Je suis content de te revoir.
You changed a lot,Tu as beaucoup changé.
Those who know him like him,Ceux qui le connaissent l'apprécient.
Tell me what happened,Dis-moi ce qui est arrivé.
They are sensible girls,Ce sont des jeunes filles sérieuses.
How beautiful you are,Comme tu es belle !
You must work more,Tu dois travailler davantage.
It's more difficult than you think,C'est plus difficile que tu ne crois.
Who are those guys,Qui sont ces types-là ?
I don't agree with him,Je ne suis pas d'accord avec lui.
Who said that It's totally wrong,Qui a dit ça ? C'est complètement faux !
Wolves won't usually attack people,"Normalement, les loups n'attaquent pas les gens."
Can somebody help me,"Est-ce que quelqu'un peut m'aider ?"
You've given me your cold,Tu m'as donné ton rhume.
They will never accept it's too far,"Ils n'accepteront jamais, c'est trop loin."
Her garden is a work of art,Son jardin est une œuvre d'art.
Forget it It's not worth it,Laisse tomber. Ça n'en vaut pas la peine.
You need not telephone me,Il ne sera pas nécessaire que vous me téléphoniez.
You ask me to do the impossible,Tu me demandes de faire l'impossible.
I brought you a little something,Je t'ai apporté un petit quelque chose.
You are as tall as I am,Tu es aussi grand que moi.
She has as many books as I,Elle a autant de livres que moi.
Go and speak to my colleague,Adressez-vous à mon collègue.
Tell me about it,Expliquez-moi cela
