english,french
We'll give you your revenge,Nous te donnerons ta revanche.
Dozens of letters are awaiting you,Des douzaines de lettres vous attendent.
I'll make you a new suit,Je te ferai un nouveau costume.
I will never forget seeing you,Je n'oublierai jamais t'avoir vu.
I ordered you to get out,Je t&#39;ai ordonné de sortir
Who is that girl waving to you,Qui est cette fille qui te fait signe ?
I'll lend you my notebook,Je te prêterai mon carnet de notes.
I'm adamant that you should go,J'insiste que vous devez partir.
I want you to go,Je voudrais que tu t'en ailles
I wanted to show it to you,Je voulais te la montrer.
I'm very glad to see you,Je suis très heureux de vous voir.
I am looking forward to seeing you,Je suis impatiente de te voir.
It's always delightful to see you,C&#39;est toujours un plaisir de te voir
I was chagrined at missing you,J&#39;étais chagriné de te manquer
How I've missed you,Comme tu m'as manqué !
I'll tell you how to swim,Je vais vous dire comment nager
You are in part responsible for it,Tu en es en partie responsable.
You ought to have seen it,Tu aurais dû le voir
I want you to work harder,Je veux que vous travailliez davantage.
I want to see you again,Je veux te revoir.
I'm leaving it to you,Je te le laisse.
You have a bright future,Tu as un brillant avenir.
He couldn't be good for you,Il ne saurait être bon pour toi.
You have no cause for anger,Tu n'as pas de raison de t'énerver.
You've got nothing to complain of,Vous n&#39;avez rien à redire
You shall want for nothing,Tu ne manqueras de rien
You have knowledge and experience as well,Vous avez également des connaissances et de l&#39;expérience
I take my hat off to you,Je te tire mon chapeau.
Life lies in front of you,La vie s'étend devant toi.
Don't you have a sense of justice,N'as-tu donc pas le sens de la justice ?
You have many caring friends,Vous avez de nombreux amis attentionnés
You are very trying to me sometimes,Tu m&#39;as beaucoup essayé parfois
I expect you to be punctual,Je m'attends à ce que tu sois ponctuel.
You got me,Tu me tiens.
There is nothing wrong with you,Il n'y a rien de mal avec toi.
You have a gift for music,Tu as un talent musical.
I can't lie to you,Je ne puis vous mentir.
I can't hide the fact from you,Je ne peux te cacher ceci.
You make me feel so guilty,Tu me fais me sentir si coupable
I've given up on you,Je t&#39;ai abandonné
I expect you to work harder,J'attends de toi que tu travailles plus dur.
You are entitled to try once again,Tu as le droit d'essayer une nouvelle fois.
You are hopeless,Tu es impossible.
You have a good friend in me,Tu as un ami en moi
I bear no grudge against you,Je n'ai pas de rancune contre toi.
I expect you know all about it,J'espère que tu sais tout à ce propos.
You have no business doing it,Vous n&#39;avez rien à faire
You deserve the prize,Tu mérites le prix.
You have no right to say so,Je n'ai pas le droit de le dire
I take my hat off to you,Je te tire mon chapeau.
I blush for you,Je rougis pour toi
Green suits you,Le vert te va bien.
I am disgusted with you,Je suis dégoûté de toi.
I can't thank you enough,Je ne peux pas vous remercier assez.
All you can do is to wait,Tout ce que tu peux faire c'est attendre.
I can't keep up with you,Je ne peux pas te suivre.
