english,french
What do you base your theory on,Sur quoi basez-vous votre théorie
You must live up to your principles,Vous devez respecter vos principes
You should pay attention to your well-being,Vous devez faire attention à votre bien-être
You are wearing your socks inside out,Vous portez vos chaussettes à l&#39;envers
"You have cleaned your shoes, haven't you","Vous avez nettoyé vos chaussures, n&#39;est-ce pas"
You need not take off your shoes,Vous n&#39;avez pas besoin d&#39;enlever vos chaussures
I suppose you're hungry,Je présume que tu as faim.
You needn't have hurried to the airport,Vous n&#39;avez pas besoin de vous précipiter à l&#39;aéroport
Have you ever been to Kyushu,As-tu jamais été à Kyushu ?
You must come back before nine o'clock,Vous devez revenir avant neuf heures
You have no need to hurry,Tu n&#39;as pas besoin de te presser
You need not have hurried,Tu n&#39;as pas besoin de te dépêcher
You'd better hurry up,Tu ferais mieux de te dépêcher.
Do you know who Rie Miyazawa is,Savez-vous qui est Rie Miyazawa ?
You are in need of a holiday,Vous avez besoin de vacances
You must go up the hill,Tu dois monter la colline.
You must form regular habits,Vous devez avoir des habitudes régulières
You broke the rule,Tu as enfreint la règle.
You should conform to the rules,Tu devrais te conformer aux règles
Clear up your desk a bit,Nettoyez un peu votre bureau
You're stepping into dangerous territory,Vous entrez dans un territoire dangereux
You look pale,Tu es tout pâle.
You are as white as a sheet,Tu es blanc comme un cachet d'aspirine.
I think that you're wrong,Je pense que tu te trompes.
Have you ever read any Chinese poems,Avez-vous déjà lu un poème chinois ?
You've done a perfect job,Vous avez fait un travail parfait
You are nothing but a student,Tu n'es qu'un étudiant.
You must not be absent from school,Vous ne devez pas être absent de l&#39;école
You may be late for school,Vous êtes peut-être en retard pour l&#39;école
What subjects are you taking at school,Quelles matières prenez-vous à l&#39;école
Would you like to go abroad,Voulez-vous aller à l&#39;étranger
Do you plan to go abroad,Prévois-tu d'aller à l'étranger ?
You should have attended the meeting,Vous auriez dû assister à la réunion.
You like fruit,aimez-vous les fruits?
Will you stay at home,Tu restes à la maison ?
You will stay at home,Tu resteras chez toi.
What grade are you in,En quelle classe es-tu ?
You may go anywhere,Tu peux aller n'importe où.
What time are you going on duty,À quelle heure prends-tu ton service ?
You're too suspicious about everything,Tu es trop suspicieuse de tout.
How many books do you have,Combien de livres as-tu ?
What are you looking for,Que recherchez-vous
What are you looking at,Quelle est ta vision?
What do you learn,Qu'apprendrez-vous?
What do you intend to do,Qu'allez-vous faire?
You have put everything out of order,Tu as tout mis hors de service.
What are you going to be,Qu'allez-vous être ?
What do you want to be,Que veux-tu être ?
What will you have,Que voulez-vous
What are you going to have,Qu&#39;allez-vous avoir
You will have your own way,Vous aurez votre propre chemin
What woke you up,Qu'est-ce qui t'a réveillé ?
Please let me know what you want,Dites-moi de quoi vous avez envie.
What do you like,Qu'aimez-vous
What do you want now,Que voulez vous maintenant?!
Do you belong to any clubs,Appartenez-vous à des clubs ?
Do you love music,Aimes-tu la musique ?
You really have an ear for music,Tu as vraiment l'oreille musicale.
You are not a coward,Tu n'es pas un lâche.
You dropped your pencil,Tu as fait tomber ton crayon.
Do you have any pencils,Avez-vous des crayons ?
"First, you have to stop smoking","Tout d&#39;abord, vous devez arrêter de fumer"
Are you not able to speak English,Vous ne parlez pas anglais
Do you study English,Étudies-tu l'anglais ?
Can you make yourself understood in English,Peux-tu te faire comprendre en anglais ?
"You can't speak English, can you","Vous ne pouvez pas parler anglais, pouvez-vous"
"You can swim, can't you","Tu sais nager, n'est-ce pas ?"
Can you swim,Est-ce que tu sais nager ?
"You can't swim, can you","– Tu n’y arrives pas, n’est-ce pas?"
You are tallest,Tu es le plus grand
You must not tell a lie,Tu ne dois pas dire de mensonge.
What are you driving at,À quoi conduisez-vous?
Did you read it at all,Avez-vous tout lu ?
You have only to study hard,Vous n&#39;avez qu&#39;à étudier dur
You'll never be alone,Tu ne seras jamais seul.
You should follow the doctor's advice,Tu devrais suivre l'avis du médecin.
You'd better consult the doctor,Tu ferais mieux de consulter le médecin.
You are strong-minded,Vous êtes fort d&#39;esprit
I'm surprised that you're so naïve,Je suis surpris que tu sois si naïf.
You've done it,Tu l'as fait !
Do you remember seeing me before,Te rappelles-tu m'avoir vu auparavant ?
You are in a safe place,Vous êtes en lieu sûr.
You must rid yourself of bad habits,Tu dois te débarrasser des mauvaises habitudes.
You've set a bad example,Tu as montré un mauvais exemple.
You must make up for the loss,Tu dois compenser la perte.
Don't you like apples,Est-ce que tu aimes les pommes ?
You had better put on a raincoat,Tu ferais mieux de mettre un imperméable.
You don't like love stories,Tu n'aimes pas les histoires d'amour.
How dare you speak like that,Comment oses-tu ainsi parler ?
How dare you say that,Comment oses-tu dire cela ?
You're really a hard worker,Tu es vraiment dur au travail.
You have a good sense of humor,Tu as un bon sens de l'humour.
Have you ever seen a UFO,As-tu déjà vu un OVNI ?
You are no longer a mere child,Tu n&#39;es plus un simple enfant
You are apt to be forgetful,Tu as tendance à être oublieux.
You must take things as they are,Tu dois prendre les choses telles qu'elles sont.
You should act more calmly,Tu devrais agir plus calmement.
You must study more,Tu dois davantage étudier.
You should have known better,Tu aurais mieux fait de réfléchir.
You should know better,Tu devrais réfléchir.
You are old enough to know better,Assez vieux pour bien savoir.
You should study harder,Tu devrais étudier davantage.
You must study much harder,Tu dois étudier beaucoup plus.
You should be more careful,Tu devrais être plus prudent.
You should take better care of yourself,Vous devriez prendre davantage soin de vous.
You should have come home before,Tu aurais dû rentrer plus tôt à la maison.
You should have completed it long ago,Vous auriez dû le terminer il y a longtemps.
You had better speak more naturally,Tu aurais du parler plus naturellement.
You'd better try to assert yourself more,Tu ferais mieux d'essayer de t'affirmer davantage.
You ought to have been more careful,Tu aurais dû être plus prudent.
You need to study harder,Vous devez étudier plus dur
You should have worked harder,Tu aurais dû être plus dur à la tâche.
You should have been more careful,Tu aurais dû être plus prudent.
You should have come earlier,Tu aurais dû venir plus tôt.
Do you like Mozart's music,Aimes-tu la musique de Mozart ?
Have you taken your medicine yet,As-tu déjà pris ta médication ?
Have you solved all the problems yet,As-tu déjà résolu tous les problèmes ?
It's high time you had a haircut,Il est grand temps que tu te fasses couper les cheveux.
You are now an adult,Tu es désormais un adulte.
You must go to bed now,Tu dois aller te coucher maintenant
You had better go to bed now,Tu ferais mieux d'aller au lit maintenant.
You should have come a little earlier,Tu aurais dû venir un peu plus tôt.
You must get up a little earlier,Tu dois te lever un peu plus tôt.
You must be less impatient,Tu dois être moins impatient.
Have you finished doing your homework yet,Tu as déjà fini de faire tes devoirs ?
Have you done all your homework,As-tu fait tous tes devoirs ?
You are not a child any more,Tu n'es plus un enfant.
You may go home now,Vous pouvez rentrer chez vous maintenant
It is time you went to school,Il est temps que tu ailles à l&#39;école
Have you turned in your report,Avez-vous rendu votre rapport ?
It's high time you got going,Il est grand temps que tu partes
Have you finished reading that book yet,As-tu déjà fini de lire ce livre ?
Have you finished the work yet,As-tu déjà terminé le travail ?
You are old enough to know this,Tu es suffisamment vieux pour savoir ça.
You surprised everybody,Tu as surpris tout le monde.
You haven't changed at all,Tu n'as pas du tout changé.
Are you still smarting over my remarks,Est-ce que tu me fais encore des remarques
Have you got a pen,Tu as un stylo ?
You will not take Bob's advice,Vous ne suivrez pas les conseils de Bob
Can you speak French,Parlez-vous français ?
"You can't speak French, can you","Vous ne pouvez pas parler français, n'est-ce pas ?"
You failed to wake Harry up,Tu n&#39;as pas réveillé Harry
You'd better go by bus,Tu devrais plutôt aller en bus.
You have to go to the party,Tu dois aller à la fête.
What a man you are,Quel homme tu es !
How tall you are,Comme tu es grande !
How kind you are,Comme vous êtes gentil !
How rude of you,C'est grossier de votre part !
How lucky you are,Quel chanceux vous êtes!
You're such a cute boy,Tu es un garçon tellement mignon !
Do you want anything,Voulez-vous quelque chose?
Why can't you come,Pourquoi ne peux-tu pas venir ?
Why did you try to run away,Pourquoi as-tu tenté de t'enfuir ?
Why do you accuse my son,Pourquoi accuses-tu mon fils ?
What prevented you from coming earlier,Qu'est-ce qui t'a empêché de venir plus tôt ?
