english,french
You may laugh at me,Tu peux rire de moi.
You do me wrong,Tu me fais mal
You can number me among your friends,Tu peux me compter parmi tes amis
You may use my new car,Tu peux utiliser ma nouvelle voiture.
You must do as I tell you,Tu dois faire ce je te dis.
Are you for or against my plan,Es-tu pour ou contre mon projet ?
You have no claim on me,Tu n&#39;as aucune réclamation sur moi
You should have told me the truth,Tu aurais dû me dire la vérité.
"You lied to me, didn't you","Tu m'as menti, n'est-ce pas ?"
You don't know how worried I am,Tu ne sais pas à quel point je suis inquiet
You had better do as I suggest,Tu ferais mieux de faire ce que je suggère
Can you imagine me making a cake,Peux-tu m'imaginer en train de faire un gâteau ?
You have only to follow the directions,Vous n&#39;avez qu&#39;à suivre les instructions
You must learn to obey instructions,Vous devez apprendre à obéir aux instructions
You finally succeeded in getting a job,Tu as fini par obtenir un boulot.
You are frustrated with your work,Tu es frustré par ton travail.
