Thème,French,English
,Acceptez-vous... ?,"Do you accept ...? (formal, context, do you accept, credit card ..)"
,Pouvez-vous changer ces chèques de voyage ?,Can you change these traveler's checks? (formal)
,Pouvez-vous changer cela en... ?,"Can you change this into ...? (formal, context: changing money)"
,Voici ma carte,Here is my card. (context: credit card)
,Combien prenez-vous de commission ?,"How much commission do you charge? (formal, context: changing money)"
,Je voudrais changer des dollars,I want to change some dollars
,Quel est le taux de change ?,What is the exchange rate?
,Où puis-je changer mon argent ?,Where can I change my money?
,Où se trouve la banque la plus proche ?,Where is the nearest bank?
,Où dois-je signer ?,Where should I sign?
,J'ai rendez-vous avec...,I have an appointment with ...
,Combien coûte l'entrée ?,How much is the entrance fee?
,Quel est le tarif horaire ?,How much does it cost per hour?
,Quel est le tarif hebdomadaire ?,How much does it cost per week?
,Est-ce gratuit ?,Is it free?
Computer,Avez-vous un ordinateur ?,Do you have a computer? (formal)
,Avez-vous une connexion internet ?,"Do you have an internet connection? (formal, context: cyber café)"
,Puis-je envoyer un e-mail / un courriel ?,Can I send an email?
,Puis-je lire mes messages ?,Can I read my email?
,Puis-je imprimer quelque-chose ?,Can I print something?
,Puis-je scanner quelque-chose ?,Can I scan something?
,Mon ordinateur a planté,My computer crashed
,Il faut redémarrer,You need to reboot
,Puis-je installer... ?,May I install ... ?
,Quelle est votre adresse e-mail ?,What's your e-mail address? (formal)
,Mon e-mail est...,My email adress is ...
Étude,Quelle est l'adresse de... ?,What is the adress (in the sense: URL)?
,Qu'étudiez-vous ?,What do you study? (formal)
,J'étudie ...,I study ...
,le droit,law
,Dans quelle université étudiez-vous ?,In which university do you study? (formal)
,J'étudie à,I study at ...
,J'ai cours aujourd'hui,I have class today
,Je suis libre aujourd'hui,I'm free today
,Je suis étudiant,I am a high school student
,Je dois aller en cours maintenant,I have to go to class now
urgence,Appelez un docteur !,Call a doctor!
,Appelez une ambulance !,Call an ambulance!
,Appelez la police !,Call the police!
,Il ne peut pas respirer (contexte: blessé),He can't breathe
,Il ne peut pas bouger (contexte: blessé),He can't move (context: he is hurt)
,Il ne s'est pas arrêté (contexte: en voiture),He did not stop (context: with his car)
,Il m'est rentré dedans,"He drove into me (with his car, into my car)"
,Il conduisait trop vite,He was driving too fast
,Il s'est coupé,He cut himself (preterite)
,Je ne peux pas bouger mon bras,I can't move my arm
,Je ne peux pas bouger ma jambe,I can't move my leg
,On m'a volé mon passeport,My passport has been stolen
,On m'a volé mon argent,Somebody stole my money
,On m'a volé ma voiture,Somebody stole my car
,Au feu !,Fire!
,Où est l'hôpital le plus proche ?,Where is the nearest hospital?
,Où est le poste de police le plus proche ?,Where is the nearest police station?
ressenti,J'aime ça,I like it
,Je suis heureux ,I'm happy 
,Je suis en colère,I'm angry
,Je suis déçu(e),I am disappointed
,Je suis satisfait(e),I am satisfied
,Je suis fatigué(e),I'm tired 
,J'ai peur,I'm afraid
,J'ai chaud,I'm hot
,J'ai froid,I'm cold
,J'ai sommeil,I am sleepy
,Nous nous plaisons ici,We like this place
,C'est (très) intéressant,It is (very) interesting
,Nous trouvons cela très intéressant,We find it very interesting
,C'est (très) ennuyeux,It is (very) boring
,C'est beau,This is beautiful
,Il est (très) beau,He is (very) handsome
,Elle est (très) jolie,She is (very) pretty
,Il est sexy !,He is hot!
,Elle est sexy !,She is hot!
,Regardez !,Look!
,Écoutez !,Listen!
,Super ! / Cool !,Super! / Cool!
,Génial !,Awesome!
,J'ai faim,I'm hungry
,J'ai soif,I am thirsty
boire un verre,On va manger quelque chose ? (informal),Let's eat something? (informal)
,On va boire un verre ? (informal),Let's have a drink? (informal)
,Avez-vous quelque chose à manger ?,"Do you have something to eat? (formal, context: in a hotel)"
,Avez-vous quelque chose à boire?,"Do you have something to drink? (formal, context: in a hotel)"
,Voulez-vous manger quelque chose ?,"Do you want something to eat? (formal, context: in a hotel)"
,Puis-je avoir quelque-chose à boire ?,"May I have something to drink? (formal, context: in a hotel)"
,Voulez-vous boire quelque chose ?,"Do you want something to drink? (formal, context: in a hotel)"
restau,"Je voudrais (boire) ... , s'il vous plaît",I would like (to drink) ... Please
,une tasse de café | un café,a cup of coffee | a coffee
,une tasse de thé | un thé,a cup of tea | a tea
,un verre de bière | une bière,a glass of beer | a beer
,un verre de vin | du vin,a glass of wine | some wine
,un verre de vin rouge,a glass of red wine
,un verre de vin blanc,a glass of white wine
,un verre de jus d'orange | un jus d'orange,a glass of orange juice | an orange juice
,un verre de jus de pomme | un jus de pomme,a glass of apple juice | an apple juice
,Puis-je vous offrir quelque chose à boire ?,Can I get you something to drink?
,Que voulez-vous boire ?,What would you like to drink?
,Que voulez-vous manger ?,"What would you like to eat? (formal, context: in a hotel)"
,Que me/nous recommandez-vous ?,"What would you recommend us? (formal, context: in a hotel)"
,"Puis-je voir le menu, s'il vous plaît ?","May I see the menu, please?"
hotel,Je voudrais réserver...,"I would like to book… (formal, context: in a hotel)"
,Je souhaiterais réserver...,"I wish to book… (formal, context: in a hotel)"
,Avez-vous des chambres libres?,"Do you have any rooms available? (formal, context: in a hotel)"
,Je voudrais réserver une chambre pour le...,I would like to book a room for ...
,Je voudrais réserver une salle au nom de...,I would like to book a conference room…in the name of...
,Serait-il possible de changer la date de réservation au...,Would it be possible to change the booking date…
,J'ai bien peur de devoir vous demander de modifier ma réservation du...au...,"I am afraid I must ask you to alter my booking from…to… (formal, context: in a hotel)"
,J'ai bien peur de devoir annuler notre réservation de...parce que...,"I'm afraid I have to cancel our reservation for…because… (formal, context: in a hotel)"
Basis I/II,à bientôt,see you soon
,à demain,see you tomorrow
,à plus tard,see you later
,non merci,no thank you
,d'accord,okay
,"Pardon, excusez-moi (pour demander pardon)",Excuse me (for forgiveness)
,C'est combien?,How much? (informal)
,Qu'Est-ce que c'est?,What is it?
,J'aimerais,I would like ...
,Je voudrais,I would like ...
,Comment ça va?,How are you?
,"Salut, ça va?","Yo, what's up?"
,ça vous dérange si ... ?,do you mind if ... ? (formal)
,Où sont les toilettes?,Where is the bathroom?
,ah bon?,oh really?
,Défense d'entrer,no entry
,"Un instant, s'il vous plaît","One moment, please"
,"Asseyez-vous, je vous en prie",Please have a seat
voc de salope,Je comprends un petit peu ....,I understand a little bit ....
,Je ne comprends rien,I do not understand anything
,J'arrive à comprendre un peu mais je ne peux pas parler.,I can understand a little but I can not speak
,hein?,huh?
,Pardon?,Pardon?
,Qu'est-ce qui se passe?,What's going on?
,Qu'est-ce-qui s'est passé?,What happened?
,Comment est-ce que ça s'appelle?,What is it called?
,ça s'écrit ...,it is spelled ...
,C'est une sorte de ...,It is a kind of ...
,J'en avais fait (langue) à l'école mais j'ai tout oublié,I studied it (language) at school but I have forgotten everything
,J'ai appris quelques mots avec un livre,I learned a few words from a book
,Il y a des sons difficiles à prononcer,There are sounds difficult to pronounce
,Je connais les bases mais pas plus,I know the basics but not more
,Tu parles très bien,You speak very well
,Je trouve que tu te débrouilles très bien,I think you're doing very well
,Vous n'avez presque pas d'accent,You have almost no accent
chercher son chemin,Je cherche ... la rue...,I am looking for ... Street X
,"Excusez-moi, où est ...","Excuse me, where is ..."
,Est-ce-qu'il y a un plan de la ville quelque part ?,Is there a map of the city somewhere?
,Je me suis perdu,I'm lost
,Je crois que je me suis trompé de chemin,I think I went the wrong way
,Quelle est la route pour ... ?,What is the way to ... ?
,C'est loin?,Is it far?
,Vous êtes à pied ou en voiture?,You are walking or driving? (formal)
,C'est à 5 minutes à pied,It is 5 minutes walking
,Prenez la prochaine sortie,Take the next exit (formal)
,Prenez la première rue à gauche après le feu,Take the first left after the traffic light (formal)
,"Suivez-moi, je vais vous y conduire","Follow me, I'll take you there (formal)"
,C'est tout près,It is close
,C'est assez loin,It's kind of far away
,C'est très loin,It is very far
,C'est juste après le carrefour,It's right after the crossroads
,"Vous verrez, c'est indiqué","You'll see, it is well signaled (direction, not sure of the translation)"
,Vous y êtes presque,You're almost there (formal)
,Je suis prof,I am a teacher
,Je suis à la retraite,I am retired
,"J'ai deux enfants, un de huit ans, et un de douze ans","I have two children, one is eight, and the other is twelve"
,Je travaille dans le marketing,I work in marketing
vacances,Est-ce que vous êtes déjà allé aux Etats-Unis?,Have you ever been in the United States? (formal)
,Vous êtes américain?,Are you American?
,J'ai de la famille en France,I have relatives in France
,Je ne suis ici que pour deux jours,I'll stay here only for two days
,Nous ne sommes ici que pour deux jours,We are here only for two days
,C'est la première fois que je viens,It is my first time here
,Je suis arrivé il y a quatre jours,I arrived four days ago
,On est arrivés il y a quatre jours,We arrived four days ago
,Je visite la région,I am visiting the area
,Nous visitons la région,We are visiting the area
,Je suis en vacances,I'm on vacation
,Nous sommes en vacances,We're on vacation
,C'est notre lune de miel,It is our honeymoon
,On est venus pour notre anniversaire de mariage,We came here for our wedding anniversary
,Je suis venu avec une amie,I came with a friend (context: this friend is a girl)
,Je suis ici pour mon travail,I'm here for my work
,On m'a conseillé d'aller à,I was advised to go to
,à une prochaine,see you next time
,J'ai l'intention d'aller à ...,I intend to go to ...
,C'est la première fois que vous venez ici?,Is it your first time here?
,ça vous plaît?,do you like it?
,ça fait combien de temps que tu es ici?,How long have you been here for? (informal)
,Passez de bonnes vacances,Have a great holiday
,Je peux te donner mon adresse mail,I can give you my email address (informal)
,Tu me donnes ton adresse mail?,Can you give me me your email address? (informal)
,Vous êtes toujours les bienvenus,You are always welcome in our home (plural)
,Est-ce que vous avez une adresse mail ?,Do you have an email address? (formal)
avis/ressenti,Est-ce que c'est dangereux de ... ?,Is it dangerous to ... ?
,"C'est une bonne idée, pourquoi pas ?","It is a good idea, why not?"
,J'ai beaucoup aimé...,I loved it
,J'aimerais bien ...,I would like ...
,J'aurais bien aimé ...,I would have liked ...
,J'ai trouvé ça ...,I found it ...
,ça m'est égal,I don't care
,Je suis d'accord,I agree
,Je ne suis pas d'accord,I don't agree
,ça ne me dit pas trop,I don't feel like (check whether it is correct)
,ça a un drôle de goût,it tastes funny
,ça m'énerve,It gets on my nerves
,C'est de l'arnaque,It is dailight robbery
,C'est un attrape-touriste,It is a tourist trap
,C'est très animé le soir,It is very lively at night
,Il y avait beaucoup de monde,It was crowded
,Il y a trop de monde,It is too crowded
,Je me suis ennuyé à mourir,I was bored to death
,On s'est bien amusés,We had great fun
,J'ai rencontré des gens très sympas,I met some very nice people
,Il y avait une super ambiance,There was a great atmosphere
,Je n'ai pas compris grand-chose,I did not understand much
,On a trouvé un petit hôtel très sympa,"We found a small, friendly hotel"
,ça t'a plu ?,Did you like? (informal)
,ça te dit de... ?,Do you fancy ... ?
,ça n'a rien d'exceptionnel,it was not exceptional
,Vous devriez y aller,You should go (context: visit something)
,Il faut absolument que vous goûtiez à,You simply must taste ... (formal)
,"Il vaut mieux y aller en semaine, il y a moins de monde","You should go during the week, it is less crowded (informal)"
,Est-ce que tu aimes... ?,Do you like ... ? (informal)
météo,Quel temps va t-il faire demain?,What is the weather going to be like tomorrow?
,Il va faire mauvais,The weather will be bad tomorrow
,Il va pleuvoir tout l'après midi,It will rain all afternoon
,Il va faire beau,The weather will be beautiful
,Quel sale temps!,What beastly weather! 
,On a de la chance avec le temps,We are lucky with the weather
,Il fait un temps magnifique,The weather is splendid
,Il fait froid le soir,It's cold at night
,"Quelle belle journée, hein?","What a beautiful day, huh?"
,On a eu de la chance avec le temps,We were lucky with the weather
,Il va pleuvoir demain,It will rain tomorrow
,Il va neiger demain,It will snow tomorrow
,Ils ont prévu du beau temps pour demain,The weather forecast promised a good weather for tomorrow
,Il va pleuvoir jusqu'à jeudi,It will rain until Thursday
,Il risque de pleuvoir demain,It might rain tomorrow
,Il va y avoir du vent demain,There will be wind tomorrow
voyage et transport,Où est-ce que je peux acheter des billets pour .... ?,Where can I buy tickets to ...?
,"Un billet pour ..., s'il vous plaît","One ticket to ..., please"
,Combien coûte un billet pour ...?,How much is a ticket to ...?
,Je voudrais réserver un billet pour ...,I would like to book a ticket to ...
,Est-ce-qu'il y a des réductions pour les étudiants ?,Are there discounts for students?
,Est-ce qu'il vous reste des places pour... ?,Are there any seats left to .. ?
,Il n'y en a pas plus tôt?,Is there anything earlier? (context: trying to buy a seat)
,Il n'y en a pas plus tard?,Is there anything later? (context: trying to buy a seat)
,Combien de temps dure le voyage?,How long is the trip?
,Est-ce que cette place est libre?,Is this seat taken?
,"Désolé, il y a déjà quelqu'un","Sorry, this seat is taken"
,Où est l'enregistrement des bagages pour British Airways?,Where is the baggage check in for British Airways?
,A quelle heure embarque t-on?,What is the boarding time? (context: airport)
,Je voudrais confirmer mon vol de retour,I would like to confirm my return flight
,Il me manque une valise,One of my suitcases is missing (context: airport bagage claim)
,Mes bagages ne sont pas arrivés,My luggage did not arrive
,J'ai raté ma correspondance,I missed my connection
,L'avion a eu quatre heures de retard,The plane was four hours late
,Veuillez patienter dans la salle d'embarquement,Please wait in the lounge (formal)
,salle d'embarquement,lounge (context: airport)
,embarquement immédiat,now boarding
,marchandises à déclarer,goods to declare
,Rien à déclarer,Nothing to declare
,Une place côté hublot ou côté couloir?,Window or aisle seat?
,Vous avez une correspondance à New Dehli,You have a flight connection in New Delhi
,Combien de bagages avez-vous?,How many pieces of luggage do you have?
,Vous avez un excédent de cinq kilos,You have an excess of five kilograms (context: luggage in airport)
,Voilà votre carte d'embarquement,Here is your boarding pass
,A quelle heure est le prochain train pour New Delhi ?,At what time is the next train to New Delhi?
,A quelle heure part le dernier train pour New Delhi ?,At what time is the last train to New Delhi?
,De quel quai part le train pour New Delhi?,From which platform will the train to New Delhi leave ?
,Où est-ce que je peux prendre un bus pour le centre-ville?,Where can I take a bus to the city center?
,Quelle ligne dois-je prendre pour aller au centre-ville?,Which line should I take to go downtown?
,C'est bien l'arrêt pour .. ?,"I this the stop for .. ? (context: in the bus, going to a Museum)"
,C'est bien ici que passe le car pour Berlin?,"The bus to Berlin passes here, doesn't it?"
,J'ai raté mon train,I missed my train
,J'ai raté mon bus,I missed my bus
,Pourriez-vous me dire quand il faut descendre?,Could you tell me when to get off?
,Vous ne pouvez pas réserver par téléphone,You can not book by phone
,Il y a un arrêt de bus un peu plus loin à gauche,There is a bus stop a little further on the left
,"Ce train dessert les gares de Avignon, Aix-en Provence, et Marseille","This train stops at Avigon, Aix-en-Provence and Marseille"
,Vous devez prendre le bus n°,You must take the bus No.
,Vous devez descendre au prochain arrêt,You should get off at the next stop
,Il reste trois arrêts,There are three stops left
,Vous avez un changement à ...,"You have to change at ... (context, changing buses)"
voyage et voiture,Où est-ce que je peux trouver une station-service ?,Where can I find a gas station?
,"Le plein de diesel, s'il-vous-plaît","Fill it up with diesel, please"
,Est-ce-qu'il y a un garage par ici?,Is there a garage nearby?
,Pouvez-vous nous aider à pousser?,Can you help us push?
,La batterie est morte,The battery is flat (context: car battery)
,Je suis tombé en panne,The car broke down
,Je suis tombé en panne à deux kilomètres d'ici,The car broke down two miles away from here
,Nous sommes en panne d'essence,We ran out of gas
,Nous venons d'avoir un accident,We just had an accident
,J'ai perdu les clefs de ma voiture,I have lost my car keys
,J'ai crevé,I had a puncture
,ça va prendre combien de temps à réparer?,how long will it take to repair? (context: a car)
,Je voudrais louer une voiture pour une semaine,I would like to rent a car for a week
,Je voudrais prendre une assurance tous risques,I would like to purchase an all risks insurance (context: renting for a car)
,Je voudrais aller à la gare s'il vous-plaît,"I would like to go to the station, please (context: taxi)"
,Je voudrais un taxi pour 9 heures,I would like a taxi for 9:00
,"Vous pouvez m'arrêter ici, merci","You can stop here, thank you (context: taxi)"
,Combien ça va me coûter pour aller à l'aéroport,How much will it cost me to go to the airport? (context: taxi)
,Merci de m'avoir emmené (auto-stop),Thank you for taking me (context: hitch hiking)
,Est-ce que vous pourriez me déposer ici (auto-stop) ?,Is this-you could drop me off here (context: hitch hiking)
,Je vais à ...,I'm going to ...
,On est venus en stop,We came hitch hiking
,Stationnement interdit,No parking
,"Il me faut votre permis de conduire, une pièce d'identité et votre carte de crédit","I need your driver's license, identification and credit card"
,L'acompte est de ...,The deposit is ...
,Combien de temps dure la traversée ?,How long is the crossing?
,demi-pension,half board
,avec douche,with shower
,pension complète,full board
,Est-ce que vous pouvez m'écrire l'adresse?,Could you write down the address?
,Où peut-on faire les courses par ici?,Where can we go shopping nearby?
,Vous acceptez les cartes de crédit?,Do you accept credit cards? (context: formal)
,Est-ce-qu'il serait possible de rester une autre nuit?,Would it be possible to stay another night?
,J'ai réservé par téléphone au nom de ...,I booked by phone under the name ...
,Est-ce que je peux voir votre passeport?,May I see your passport?
,Est-ce que vous pouvez remplir cette fiche?,Could you complete this form?
,Je voudrais réserver une chambre individuelle pour 4 nuits,I would like to reserve a single room for 4 nights
,C'est pour un couple et trois enfants,It is for a couple and three children
,ça n'a vraiment pas d'importance,That really has no importance
,Une chambre bon marché pour une personne,A cheap room for a person
,Avez-vous quelque chose de plus calme?,Have you anything quieter?
,Est-ce-qu'il est possible d'ajouter un lit supplémentaire?,Is it possible to add an additional bed?
,Je pense rester trois nuits,I think I will stay three nights
,"C'est bien, je la prends","It's good, I take it (context: room)"
,Combien coûte une chambre avec salle de bain?,How much does a room with bathroom cost?
,Est-ce que le petit déjeuner est inclus?,Is the breakfast included?
,Vous n'avez rien de moins cher?,Do you have anything cheaper?
,Est-ce que l'hôtel est près du centre?,Is there an hotel near the center?
,La clé du 32 s'il vous plaît,The key of the 32 please (context: asking the key of room in a hotel)
,J'aimerais changer de chambre,I would like to change rooms (context: hotel)
,Je n'arrive pas à faire marcher la climatisation,I can't make the air conditioner work
,Pouvez-vous me montrer comment ça marche?,Could you show me how it works?
,Nous n'avons pas de serviette de toilette,We have no towel (context: bathroom in a hotel)
,Il n'y a plus de papier toilette,There is no a toilet paper left
,Qu'est-ce que vous cherchez ?,What are you looking for?
,Avec ou sans salle de bain ?,With or without bathroom?
,Nous sommes complets,We are full (context: hotel)
,Il ne me reste qu'une chambre double,I have only a double room left
,C'est pour combien de nuits ?,how many nights will you stay? (context: hotel)
,A quelle heure pensez-vous arriver ?,What time do you think you will arrive?
,Quel est votre nom s'il-vous-plaît ?,"What is your name, please? (context: hotel)"
,Les chambres doivent être libérées avant midi,Rooms must be freed before noon
,Le petit déjeuner est servi entre 6h et 10h,The breakfast is served between 6 am and 10 am
,Est-ce que je peux laisser mon sac à dos à la réception ?,Can I leave my backpack at the reception?
,Je viendrais le récupérer vers 16h,I will come to get it back around 4 pm (a backpack)
,Il n'y a pas d'eau chaude,There is no hot water
,Le lavabo est bouché,The sink is clogged
,Les draps sont fournis,Bed sheets are supplied
,L'auberge rouvre à 7h,The inn reopens at 7 am
,Où est le compteur électrique?,Where is the electric counter?
,Où dois-je sortir les poubelles?,Where do I have to take out trash cans?
,"Je suis désolé, j'ai cassé une lampe","I am sorry, I broke a lamp"
,Je ne trouve pas le ...,I can not find...
,Quelqu'un va passer faire le ménage après votre départ,Someone will do the housework after your departure (context: after having rent a house)
,C'est entièrement meublé,It is completely furnished
,Le prix comprend l'eau et l'électricité,The price includes the water and the electricity
,Y a-t-il un camping près d'ici?,Is there a camping nearby?
,Je voudrais un emplacement pour une tente pour une semaine,I would want a location for a tent for a week
,C'est combien par jour?,How much is it a day?
,Je voudrais régler,I would like to pay the bill (context: leaving the camping or the hotel)
,Est ce-qu'il y a une cabine téléphonique quelque part?,Is there a phone box around here?
,N'hésitez pas à m'appeler si vous avez un problème,Do not hesitate to call me if you have a problem
,C'est 5 euros par jour et par tente,It is 5 euro a day and by tent
,On va manger quelque chose? (mais plus formel),Shall we eat something? (formal)
,On va prendre un café?,Let us have a coffee?
,J'en reprendrai un autre,I ll take one more (context: asking for another coffee)
,Est-ce que vous pouvez nous recommander un restaurant?,Could you recommend us a restaurant?
,Je n'ai pas très faim,I am not very hungry
,S'il vous plaît! (pour appeler le serveur),Excuse me (to get the attention of the waiter)
,Je voudrais un café allongé s'il vous plaît,I would like a long coffee please
,Bon appétit,Enjoy your meal
,Ce n'est pas assez salé,It is not salty enough
,J'ai trop bu hier,I have drunk too much yesterday
,Vous pourriez nous apporter un cendrier s'il vous plaît ?,Could you bring us an ashtray please?
,"Bonjour, j'aimerais réserver une table pour quatre personnes pour ce soir","Hello, I would like to make a dinner reservation for four people for tonight"
,vers 19h,around 7 p.m
,Vous n'avez pas de table libre plus tôt?,Do you have a table available earlier (restaurant)
,J'ai réservé une table au nom de Dupont,I have reserved a table under the name of Dupont
,Pour quelle heure?,At what time? (restaurant staff asking for the reservation time)
,C'est à quel nom?,"Under what name? (resturant, reservation on the phone)"
,Vous êtes combien?,"How many would be dining tonight? (restaurant, on the phone)"
,"Bonjour, c'est pour manger?","Hello, it is for lunch (waiter welcoming new customers around noon)"
,Est-ce que vous avez réservé?,Have you reserved a table? (context: restaurant)
,"Nous sommes complets, il y a environ une heure d'attente","We are full, you will have to wait for around an hour"
,Qu'est-ce que vous nous recommandez?,What would you recommand us?
,"Oui, je crois qu'on a choisi",Yesn I think we have decided (context: answering to the waiter)
,Nous n'avons pas encore choisi,We haven't decided yet (context: answering to the waiter)
,Pour moi ce sera un ... et un ...,"For me, it will be a .... and a .... (restaurant, asking for something)"
,mais sans,but without
,C'est quoi un ...,What is a  ... (trying to get explanations about a dish)
,Je vais prendre ça,I'll take that
,Juste de l'eau ,Just some water
,De l'eau plate ou gazeuse?,Sparkling or still? (waiter asking for the type of water)
,Juste une carafe d'eau,Just a jug of water
,Est-ce que vous pouvez apporter une nouvelle carafe d'eau s'il vous plaît?,Could we have another jug of water please?
,"On va partager, vous pouvez apporter deux cuillères?","We'll share, could you bring two spoons?"
,"Ce n'est pas ce que j'avais commandé, j'avais demandé un tajine","It is not what I had ordered, I had ordered a tajine"
,Est-ce que vous pouvez nous apporter du pain?,Could you bring some bread?
,Qu'est-ce que vous avez comme dessert?,What desserts do you have?
,Vous avez choisi?,"Have you decided (restaurant, waiter asking)"
,Je repasse dans un moment,I'll be back in a minute (waiter speaking)
,Désirez-vous un dessert?,Would you like dessert? / Would you care for desert?
,Nous n'avons plus de ...,"We haven't any ... left (pie, etc)"
,Qu'est-ce que tu prends?,"What will you order? (informal,asking the dish a friend is about to order)"
,Qu'est-ce que vous prenez?,"What will you order? (formal, waiter asking)"
,C'est moi qui paie,It's on me (deciding who is going to pay for the bill)
,Un Coca-cola sans glaçon s'il vous plaît,A coke with no ice please
,et un verre d'eau s'il vous plaît,and a glass of water please
,ça arrache,It burns (context: because it is spicy)
,c'est trop piquant,It is too spicy
,L'addition s'il vous plaît,Can we have the bill please?
,Je crois qu'il y a une erreur dans l'addition,I think there is a mistake in the bill
,Je vous dois combien?,How much do I owe you?
,Vous réglez ensemble ou séparément?,Do you pay the bill together or separately?
,Nous allons régler séparément,We'll pay the bill separately
,Nous allons régler ensemble,We'll pay the bill together
,Qu'est-ce que tu veux faire ce soir?,What do you want to do tonight?
,Tu as quelque chose de prévu ce soir?,Have you got some plans for tonight?
,ca te dit d'aller boire un verre ce soir ?,Shall we have a drink tonight?
,Aujourd'hui je ne peux pas,today I can't (context I can't meet you)
,On pensait aller à un concert,We were thinking of going to a concert
,Ce serait possible de se retrouver un peu plus tard?,Would it be possible to meet a bit later?
,On se retrouve où?,Where do we meet? (context: tonight)
,On se retrouve à quelle heure?,What time do we meet? (context: tonight)
,Je dois rejoindre Jane à 8h,I have to meet Jane at 8
,"Je vous rejoindrai plus tard, je dois aller voir un ami d'abord","I'll meet you later, I have to meet a friend first"
,Désolé d'être en retard,Sorry I am late
,Tu auras mangé avant ?,Will you have eaten? (before I pick you up)
,je passerai te chercher vers 7h,I'll pick you up at 7 p.m
,On se retrouve devant le cinéma,Let's meet in front of the cinema
,On se retrouve directement là-bas,Let's meet there
,Je voudrais deux places,I'd like two tickets (cinéma)
,Est-ce-qu'il y a un tarif étudiant?,Is there a student discount
,Tu as déjà vu ce film?,Have you seen that movie?
,"J'en ai entendu parler, il paraît que c'est pas mal","I have heard of it, it seems pretty good (speaking of a movie)"
,ça sort la semaine prochaine,It will come to theaters next week (speaking of a movie)
,J'ai vu la bande-annonce,I have seen the trailer
,Je l'ai déjà vu,I have already seen it
,A quelle heure est la séance?,What time does the movie start?
,Est-ce-qu'il faut réserver à l'avance?,Do we need to book in advance? (concert ...)
,C'est quel genre de musique? (pour un concert),What kind of music is it?
,J'aimerais bien aller à un concert dans un café,I would like to go to a concert in a café
,Il y a de très bonnes critiques,It has very good reviews
,C'est un concert en plein air,It is an open-air concert
,Il est conseillé de venir un quart d'heure avant,It is advisable to come 15 minuts in advance
,Prière d'éteindre votre portable,Please switch off your mobile phone
,Ce n'est pas la peine de réserver à l'avance,It is not needed to book in advance (concert)
,Je fais une soirée pour mon départ demain,I am organizing a departure party
,Est-ce-qu'il faut amener quelque chose à boire?,Do we need to bring something to drink? (context: for a party)
,On pourrait aller en boîte après,We could go nightclubbing afterwards
,L'entrée est payante?,Is there an entrance fee
,"Après 22h, toute sortie est définitive","After 10 p.m, any exit is final"
,Est-ce que tu danses? (dans le sens est-ce-que tu veux danser),Do you want to dance?
,Je suis avec mon copain,I came with my boyfriend
,Tu as du feu?,You got a light?
,"Non merci, je ne fume pas","No thanks, I do not smoke"
,Tu es très belle,You are very beautiful
,Je t'offre quelque chose à boire?,Shall I offer you a drink (but more informal) ?
