english,french
Your book is on the desk,Ton livre est sur le bureau.
I will be your guarantor,Je serai ton garant
Better to get advice from your lawyer,Il est préférable d'obtenir le conseil de votre avocat.
I am sick of your complaint,J'en ai assez de votre récrimination.
Your allotment is 20,Votre allocation est de 20
Your dress is unsuitable for the occasion,Ta robe ne convient pas à la circonstance.
Your room is out of order,Votre chambre est en panne
Your room must always be kept clean,Ta chambre doit toujours être en ordre.
You have been beaten Give in,Tu es battu. Abandonne.
Please give my regards to your father,"Présente mes amitiés à ton père, s'il te plaît."
I'm tired of your complaints,Je suis fatigué par vos plaintes.
Your smile always makes me happy,Ton sourire me rend toujours heureux.
It's your move,C'est ton tour.
Your hair is too long,Tes cheveux sont trop longs.
Your hair really does look untidy,Tes cheveux ont vraiment l'air négligé.
Your remarks are off the point,Tes remarques sont hors sujet.
I can't help being a fool,Je ne peux pas m&#39;empêcher d&#39;être un idiot
Your problem is similar to mine,Ton problème est similaire au mien.
You should know better at your age,Tu devrais mieux connaître à ton âge
Tell me about your daily life,Parle-moi de ta vie quotidienne.
Your second button is coming off,Votre deuxième bouton se détache
You may read whichever book you like,Tu peux lire le livre que tu aimes.
Check your answers with his,Vérifiez vos réponses avec son
Check your answer with his,Vérifiez votre réponse avec la sienne.
Compare your answers with the teacher's,Compare tes réponses avec celles du professeur.
Compare your answer with Tom's,Compare ta réponse avec celle de Tom.
Your answer is to the point,Votre réponse est au point.
Your answer isn't correct Try again,Votre réponse n&#39;est pas correcte Réessayez
Your answer is right,Ta réponse est juste.
Your answer is anything but perfect,Ta réponse est tout sauf parfaite.
Your answer is wrong,Ta réponse est erronée.
Your answer is far from perfect,Ta réponse est loin d'être parfaite.
Your answer is far from satisfactory,Votre réponse est loin d'être satisfaisante.
I think your answer is correct,Je pense que ta réponse est exacte.
Your efforts will soon pay off,Vos efforts vont bientôt payer.
Your efforts will pay off one day,Vos efforts porteront leurs fruits un jour
Your efforts will bear fruit someday,Vos efforts produiront leurs fruits un de ces jours.
I hope your efforts will bear fruit,J'espère que vos efforts porteront fruit.
I forget your phone number,J'oublie ton numéro de téléphone.
I forget your telephone number,J'ai oublié votre numéro de téléphone.
May I use your phone,Puis-je utiliser votre téléphone ?
Your suggestion came up at the meeting,Votre suggestion a été évoquée à la réunion.
His proposal is out of the question,Sa proposition est complètement hors de question.
Your suggestion amounts to an order,Votre suggestion équivaut à une commande
Your proposal is a bit extreme,Votre proposition est un peu extrême.
Your suggestion is of no practical use,Votre suggestion n'est d'aucune utilité pratique.
I am in favor of your proposal,Je suis en faveur de ta proposition.
I cannot agree to your proposal,Je ne peux pas être d'accord avec votre proposition.
Bring your brother with you,Amenez votre frère avec vous.
Your brother said you'd gone to Paris,Ton frère m'a dit que tu étais allé à Paris.
Can I count on your loyalty,Puis-je compter sur ta loyauté ?
I'll act on your advice,J'agirai suivant votre conseil.
If only I had taken your advice,Si seulement j'avais pris votre conseil.
Your idea leaves nothing to be desired,Votre idée ne laisse rien à désirer.
It's none of your business,Ça ne te regarde pas
Mind your own business,Mêlez-vous de vos affaires.
When is your birthday,Quand est votre anniversaire
Your birthday is drawing near,Ton anniversaire se rapproche.
Aren't you being very rude,N&#39;êtes-vous pas très impoli
Your son has come of age,Ton fils est un homme maintenant.
"Is this your son, Betty","Est-ce ton fils, Betty ?"
I cannot accept your gift,Je ne peux accepter ton cadeau.
I'm fed up with your constant complaining,J'en ai marre de t'entendre râler constamment.
What's your major field,Quel est ton domaine principal ?
Go back to your seat,Regagnez votre place.
Your voice carries well,Ta voix porte bien.
Your policy is mistaken,Votre politique est erronée
I'm sure of your success,Je suis certain de ton succès.
Your success excites my envy,Votre succès excite mon envie
You're wide of the mark,Vous êtes loin de la marque
Your guess is entirely off the mark,Votre supposition est totalement hors de propos
Your philosophy of life varies from mine,Ta philosophie de la vie diffère de la mienne.
Your loving friend,Ton ami bien aimé.
Your new dress becomes you very well,Ta nouvelle robe te va très bien.
I didn't mean to hurt you,Je n'avais pas l'intention de te faire de la peine.
I don't like your taste in color,Je n'aime pas ton goût pour les couleurs.
I like the way you smile,J'aime ta façon de sourire.
Your advice is always helpful to me,Votre conseil m'est toujours utile.
I expect your help,Je compte sur ton aide.
I don't need your help,Je n'ai pas besoin de ton aide.
He is equal to the task,Il est à la hauteur de la tâche.
We'll start whenever you are ready,Nous commencerons dès que tu es prêt.
We will exempt you from attending,Nous vous dispenserons de participer
When will your assignment be completed,Quand votre mission sera-t-elle terminée
The ice will give under your weight,La glace va céder sous ton poids.
Write your address here,Inscris ici ton adresse.
Your attendance at classes was irregular,Votre assiduité aux cours était irrégulière
I'll miss your cooking,Ta cuisine me manquera.
This happened prior to receiving your letter,Ceci est survenu avant la réception de ta lettre.
I received your letter yesterday,J'ai reçu ta lettre hier.
Your letter made me happy,Ta lettre m'a rendu heureux.
What position do you hold,Quel est ton poste ?
Are your hands clean,Tes mains sont-elles propres ?
Please lend me your car,"S'il te plaît, prête-moi ta voiture."
Would you mind lending me your car,Voudrais-tu bien me prêter ta voiture ?
Give me a lift in your car,Dépose-moi avec ta voiture.
"Compared with yours, my car is small","Comparée à ta voiture, la mienne est petite."
What have you done with your car,Qu'as-tu fait de ta voiture ?
May I take your picture,Puis-je prendre votre photo ?
I would like your picture,J'aimerais avoir ta photo.
Your questions were too direct,Tes questions étaient trop directes.
Will you lend me your dictionary,Me prêterez-vous votre dictionnaire ?
May I borrow your dictionary,Est-ce que je peux vous emprunter votre dictionnaire ?
Look up the words in your dictionary,Cherche les mots dans ton dictionnaire.
Your bicycle is similar to mine,Votre vélo est similaire au mien.
Your bike is better than mine,Ton vélo est meilleur que le mien.
Is your watch correct,Ta montre est-elle exacte ?
Your watch seems to be very valuable,Ta montre me semble valoir très cher.
Your watch is more expensive than mine,Ta montre coûte plus cher que la mienne.
Your watch is ten minutes slow,Ta montre a dix minutes de retard.
What time is it by your watch,Quelle heure est-il sur ta montre ?
Where are your things,Où sont tes affaires ?
Your examination results are excellent,Vos résultats d'examen sont excellents.
Just follow your heart,Il suffit de suivre votre cœur
Your sister's as beautiful as ever,Ta sœur est toujours aussi belle.
I think your work is all right,Je pense que ton travail va bien
Your work is below average,Ton travail est en dessous de la moyenne.
What do you do,Que faites-vous
Your work has greatly improved,Ton travail s'est grandement amélioré.
How is your work coming along,Comment progresse ton travail ?
May we accompany you on your walk,Peut-être que nous pourrions t'accompagner sur le chemin ?
I left your umbrella in the bus,J'ai laissé ton parapluie dans le bus.
All the compositions were good except yours,Toutes les compositions étaient bonnes sauf la vôtre
Compare your composition with the example,Comparez votre composition avec l&#39;exemple
Your English composition is above the average,Votre dissertation anglaise est au-dessus de la moyenne.
Your composition leaves nothing to be desired,Votre composition ne laisse rien à désirer
Your composition is as good as ever,Votre composition est aussi bonne que jamais
There are few mistakes in your composition,Il y a peu d&#39;erreurs dans votre composition
Your composition has a few mistakes,Votre composition contient quelques erreurs
Where do you come from,D'où viens-tu
Do you eat rice in your country,Mangez-vous du riz dans votre pays ?
Your conduct is perfectly legal,Ta conduite est parfaitement légale.
Your conduct doesn't become a gentleman,Votre conduite ne sied pas à un gentilhomme.
Your behavior is quite out of place,Ton comportement est déplacé.
Your behavior is too extraordinary,Ta conduite est trop extravagante.
Your behavior admits of no excuse,Votre comportement est inexcusable.
Your behavior leaves much to be desired,Ton comportement laisse beaucoup à désirer.
You are not consistent in your actions,Tu n'es pas cohérent dans tes actions.
Your action has offended his dignity,Ton action a offensé sa dignité.
Your conduct is beyond bearing,Ta conduite est au-delà du supportable.
I am ashamed of your conduct,J'ai honte de ta conduite.
I cannot support your conduct,Je ne peux pas soutenir ta conduite
Please sum up your idea,Résume s'il te plaît ton idée.
Express your idea clearly,Exprime ton idée clairement.
We have decided to adopt your idea,Nous avons décidé d'adopter ton idée.
Your ideas are different from mine,Vos idées sont différentes des miennes.
Your guess is almost right,Tu as presque deviné juste.
Your idea is absolutely impossible,Ton idée est complètement impossible.
Your ideas are ahead of the times,Vos idées sont en avance sur le temps
Your view is too optimistic,Votre opinion est trop optimiste
Your ideas are quite old fashioned,Tes idées sont un peu dépassées.
Your idea differs entirely from mine,Ton idée est complètement différente de la mienne.
I liked your idea and adopted it,J'ai aimé ton idée et l'ai adopté.
I envy you your luck,J'envie ta chance.
You may invite any person you like,Vous pouvez inviter qui vous voulez.
Choose your favorite racket,Choisissez votre raquette préférée.
Do as you like,Faites comme vous voulez
You may act however you wish,Vous pouvez agir comme vous le souhaitez
Make your choice,Faites votre choix
I am amazed at your audacity,Je suis étonné par ton audace.
Your words are as good as violence,Vos paroles sont une forme de violence.
